index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Recovery_Rate,Total_cases,Death_Rate
0,Afghanistan,3516.1290322580644,25198,9796,106.0,10.0,18,3.5,69.49,5.04,35526,737,2.07,69.48680473209608,38510.12903225806,9.130400548159095
1,Albania,3516.1290322580644,2745,1991,117.0,6.0,63,2.95,56.25,5.25,4171,709,17.0,56.25,8252.129032258064,42.6087500390906
2,Algeria,3516.1290322580644,18837,7973,616.0,8.0,749,4.16,67.34,6.17,23691,4282,18.07,67.33993493726092,30326.129032258064,11.594387890778739
3,Andorra,3516.1290322580644,803,52,10.0,0.0,0,5.73,88.53,6.48,884,23,2.6,88.53362734288865,4371.129032258064,80.43983616840707
4,Angola,3516.1290322580644,242,667,18.0,1.0,0,4.32,25.47,16.94,749,201,26.84,25.473684210526315,4425.129032258064,79.45822611332638
5,Antigua and Barbuda,3516.1290322580644,65,18,4.0,0.0,5,3.49,75.58,4.62,76,10,13.16,75.5813953488372,3599.1290322580644,97.69388651376228
6,Argentina,3516.1290322580644,72575,91782,4890.0,120.0,2057,1.83,43.35,4.21,130774,36642,28.02,43.35009795957376,167873.12903225806,2.0945156932068705
7,Armenia,3516.1290322580644,26665,10014,73.0,6.0,187,1.9,71.32,2.67,34981,2409,6.89,71.31585985557636,40195.12903225806,8.747649570763269
8,Australia,3516.1290322580644,9311,5825,368.0,6.0,137,1.09,60.84,1.79,12428,2875,23.13,60.84427889956218,18652.129032258064,18.85108679109537
9,Austria,3516.1290322580644,18246,1599,86.0,1.0,37,3.47,88.75,3.91,19743,815,4.13,88.75376982196713,23361.129032258064,15.05119477488798
10,Azerbaijan,3516.1290322580644,23242,6781,396.0,6.0,558,1.39,76.34,1.82,27890,2556,9.16,76.33843526243184,33539.12903225806,10.483662318351316
11,Bahamas,3516.1290322580644,91,280,1282.7401129943503,30.401129943502823,0,2.88,23.82,12.09,174,208,119.54,23.82198952879581,3887.1290322580644,90.45568086571896
12,Bahrain,3516.1290322580644,36110,3231,351.0,1.0,421,0.36,91.46,0.39,36936,2546,6.89,91.45939921989768,42857.12903225806,8.204303721818405
13,Bangladesh,3516.1290322580644,125683,97577,2772.0,37.0,1801,1.31,55.56,2.36,207453,18772,9.05,55.5566360923859,226776.12903225806,1.5504846331325763
14,Barbados,3516.1290322580644,94,9,0.0,0.0,0,6.36,85.45,7.45,106,4,3.77,85.45454545454545,3619.1290322580644,97.154011391085
15,Belarus,3516.1290322580644,60492,6221,119.0,4.0,67,0.8,89.95,0.89,66213,1038,1.57,89.94959182763081,70229.12903225806,5.006653337026314
16,Belgium,3516.1290322580644,17452,39154,402.0,1.0,14,14.79,26.27,56.28,64094,2334,3.64,26.272053953152287,60122.12903225806,5.848310911231225
17,Belize,3516.1290322580644,26,20,0.0,0.0,0,4.17,54.17,7.69,40,8,20.0,54.166666666666664,3562.1290322580644,98.70863745856954
18,Benin,3516.1290322580644,1036,699,0.0,0.0,0,1.98,58.53,3.38,1602,168,10.49,58.53107344632769,5251.129032258064,66.95948643916823
19,Bhutan,3516.1290322580644,86,13,1282.7401129943503,30.401129943502823,1,0.0,86.87,0.0,90,9,10.0,86.86868686868688,3615.1290322580644,97.26150853492045
20,Bolivia,3516.1290322580644,21478,47056,1752.0,64.0,309,3.72,30.17,12.32,60991,10190,16.71,30.173782329554232,72050.12903225806,4.880114830445112
21,Bosnia and Herzegovina,3516.1290322580644,4930,5274,731.0,14.0,375,2.8,46.96,5.96,8479,2019,23.81,46.96132596685083,13720.129032258064,25.627521607057208
22,Botswana,3516.1290322580644,63,674,53.0,1.0,11,0.27,8.53,3.17,522,217,41.57,8.525033829499323,4253.129032258064,82.67158145426137
23,Brazil,3516.1290322580644,1846641,508116,23284.0,614.0,33728,3.59,75.61,4.74,2118646,323729,15.28,75.60841394134808,2358273.129032258,0.149097616767611
24,Brunei,3516.1290322580644,138,0,0.0,0.0,0,2.13,97.87,2.17,141,0,0.0,97.87234042553192,3654.1290322580644,96.22345027278024
